"","meanfreq","sd","Q25","IQR","sp.ent","sfm","meanfun","label"
"3",-3.46251985277382,1.60359475251689,-2.70655922295223,0.909182162823645,-1.08355923300076,0.398198105320077,-1.36515237057989,"male"
"4",-0.992000783849045,0.899855874254963,-0.901276063962813,0.632590482118216,1.51614333891878,1.79705611559895,-1.66670272265348,"male"
"6",-1.60841178524295,1.34701947167917,-1.48927733466449,1.33988177092051,1.51300601721666,1.85944422220007,-1.01146534857986,"male"
"7",-1.00756880546721,1.04113518203211,-0.976929578903136,0.666380145552313,1.61064431508124,1.99650209928308,-1.14108857779784,"male"
"8",-0.681609355372795,1.17947565112641,-0.61470001559741,0.867641072433145,1.42570458156395,1.75551800206184,-1.54016956727066,"male"
"9",-1.29244612178241,1.25463533159512,-1.07332821354008,0.843132766239996,1.6806731273269,2.04356345693267,-1.42636116463232,"male"
"10",-1.55685826025633,1.39465037923859,-1.33270296130093,0.983280879988333,1.78123468302558,2.23234776257864,-1.14305700579315,"male"
"11",-0.798389890179343,0.889787768682864,-0.801682107773574,0.72459641774006,1.55897789607151,1.83345223349278,-1.66889640166307,"male"
"12",-1.41574699100099,1.19671705528849,-1.09166127534881,0.727301064274661,1.5757552159539,1.93681535058256,-1.19511201756338,"male"
"13",-1.4561168704159,1.42627850225616,-1.17730126786792,0.976379574071721,1.52039118903547,1.84729327587738,-1.55281213653451,"male"
"14",0.0106574881516689,0.175116883522357,-0.238636746125127,0.38295232091469,0.940843691651597,0.725905708419141,-0.349890436105281,"male"
"16",-0.22175750839871,0.737743101966872,-0.510553747848174,0.663064493571272,1.24156421240488,1.27862412181416,-1.26176934796199,"male"
"18",-0.322872229393183,1.06565826854193,-0.371093745634183,0.862893985244402,0.92990040860599,1.00384178383591,-1.95293391787275,"male"
"19",-0.419838634234872,1.02057410480898,-0.50739163548874,0.92931182609781,0.875872323163946,0.853565590453834,-1.83636446829494,"male"
"20",-0.243173799580997,0.974375831810164,-0.344607108072313,0.847168306765523,0.79569167843026,0.619938373388375,-1.63064915361334,"male"
"21",-0.272490385023828,1.18762458965864,-0.418769470138628,0.958047041138948,0.676135799849179,0.647048198116109,-1.52403920600739,"male"
"22",0.00363607367112055,1.03549622112682,-0.242040265002936,0.962816885983451,0.448138530893117,0.37798919381854,-1.36709796655714,"male"
"23",-0.5806153826693,0.92017211437786,-0.544908104926229,0.682739721966659,0.708936313584616,0.75600020676303,-2.48464634780743,"male"
"24",-0.357439361056896,1.07967297610482,-0.338267136443084,0.97766067167988,0.415860150203998,0.449238439788591,-2.01546085663544,"male"
"26",-0.541709343415569,1.09509589684534,-0.446947176368312,0.875749399203772,1.01249918910087,1.10299039454264,-1.85250500176522,"male"
"28",-0.397274912879099,0.87989249234614,-0.301051213898482,0.893000710767179,0.158921037379388,0.391667861825118,-0.377917382158871,"male"
"29",-0.453454281163733,0.943732413286624,-0.375550208527332,0.783411014260267,0.414331447711278,0.739420128656163,-0.704378587318132,"male"
"30",-0.0126609725514042,0.825175911668008,-0.224206445931122,0.902843647898831,-0.934028912169343,-0.533964464329799,-0.501457299200893,"male"
"32",-0.476207927848746,1.1310907506591,-0.37758098981058,0.904396311446675,0.459271368915276,0.857308114600599,-0.46702083379993,"male"
"33",-0.175386389850446,0.872288771479397,-0.193051789394821,0.962055924729072,-0.408588391835441,-0.0242610681686403,-0.312051246450138,"male"
"34",-0.203252558882856,0.865160489647023,-0.347704961337342,0.916719046856699,-0.438767378812956,0.160486825180882,-0.560973562657661,"male"
"35",-0.228692885441501,0.960583818384389,-0.26189899102817,0.954308764033473,-0.433885338735718,0.0373052709965896,-0.565666909140212,"male"
"36",-0.714494115583627,1.08977117502707,-0.391476999207975,0.786822201647721,0.578158450186586,0.981937388263298,-0.698118221711491,"male"
"37",-0.443155318812338,0.606162181969354,-0.0910839253583245,-0.252544727245854,0.196872729407339,0.420624007443961,-0.001810381299163,"male"
"39",-0.59915742184226,0.530040605870975,-0.126539313361835,-0.271607477303551,-0.562286330501814,0.121502438653014,-0.353834050749431,"male"
"40",-0.357537959866142,0.894596589143343,-0.239209989223174,0.765879223331905,0.371806741538376,0.599276670344217,-0.472924197061281,"male"
"42",-1.13712952160884,0.662664410883288,-0.890551609552976,0.746481174173372,1.0122792714985,1.14781246653139,-1.89580713256264,"male"
"43",-0.47272215752676,0.442135592324647,-0.484978270294975,0.664429707659914,0.949803387379816,1.03597193561432,-1.2730529431101,"male"
"44",-0.909649617014461,0.562680463024695,-0.849850011188149,0.657212702891059,1.1387837587414,1.24523313101609,-1.46139746267403,"male"
"46",-1.09049416899848,0.660044180329205,-0.936485084051725,0.494727852046197,1.05601504429626,1.2823070871234,-1.40151438190559,"male"
"47",-0.745730860740079,0.545913560167607,-0.603339791608602,0.679307688398378,0.82900164815294,0.89959488428709,-1.92997995773494,"male"
"48",-0.57702795360428,0.774955568202754,-0.611637623937088,0.759521884197234,1.18401390955268,1.26386608353527,-2.70060106332464,"male"
"49",-0.74369294611937,0.626827865651196,-0.739601324315347,0.711388043980157,1.04631730362367,1.15683006350457,-1.28192370618761,"male"
"50",-1.43773057419755,0.918476510544196,-1.10773500256303,0.697948549929785,1.51551885536894,1.79601638336376,-2.05851985888031,"male"
"51",-1.27653025006153,1.02314276966473,-1.05876548782747,0.772446743688507,1.59089760599385,1.94326883037083,-1.36000461715676,"male"
"52",-1.5326540857735,0.898928654678123,-1.08486140078896,0.663976837246273,1.18476775587711,1.54782329011864,-1.61140971275468,"male"
"54",-1.3245106582137,1.03758268913356,-1.02426971279398,0.634429896982373,1.58874845257279,1.89601940519279,-1.03661239750917,"male"
"55",-0.904323604645401,0.90471936183452,-0.780952916925603,0.7650262132708,1.32468746809224,1.55700014123338,-0.945700708025554,"male"
"58",-1.97952967085759,1.78499314131681,-2.25495685506398,2.34439820521579,0.812228005900273,0.794278983145069,-0.368965140691711,"male"
"59",-1.51269882706042,1.75870352957647,-1.85846478128683,2.20991643352314,1.27584747639056,1.41728176114595,-0.262890280711709,"male"
"60",-2.69094289256165,0.943332459366166,-1.97953730737149,0.372844147002967,1.66891733631019,1.95095560057995,-0.787737505722414,"male"
"61",-1.86574523219498,1.38063830482806,-1.70809019159455,1.39772585380009,1.18651479291016,1.47822759527237,-0.868735540740778,"male"
"62",-1.25077381407178,0.789654502691911,-0.795465656324628,0.588887682917041,1.04828873468207,1.13763605563577,-0.680753809589986,"male"
"63",-1.26044470987101,1.70075680949746,-0.908527900024616,1.21809878903874,1.01384076786225,0.996830120843283,-1.00749120439012,"male"
"65",-0.629764126892435,1.63979828744628,-0.57807833089382,1.23422770754592,1.07332418306734,1.05289763875366,-0.798171131810737,"male"
"66",-1.2683195123858,1.56020590564828,-0.870702297697931,1.07013286564174,1.1340048980208,1.25885068512128,-0.342775305370178,"male"
"67",-1.32874452280459,1.4290097621833,-0.889551702462073,0.953188493848563,1.21903999192474,1.34314528511183,-0.789640813669696,"male"
"68",-0.453661629333446,-0.597411135312475,-0.102312963657439,-0.912969313469661,-0.327967303713175,-0.360008461149168,-0.0308418370762499,"male"
"71",-0.439372411374086,0.105535620482298,-0.30501644448499,-0.211234179455055,0.633911958968718,0.433195494236658,-0.331770897089676,"male"
"72",-0.32800193486831,0.249862380185697,-0.306072835751121,0.5519430391844,0.327028997327956,-0.0726012031819126,-0.332194942547143,"male"
"74",0.66594167303057,-0.243795824909663,0.921875172558893,-0.781690256398037,0.279150861877972,-0.120537459104034,0.691813641610347,"male"
"75",-1.46437611063856,0.570925241513505,-1.13794486726022,0.649104806913307,0.379921742706069,0.561453185624049,-1.90815905199942,"male"
